,nazev,kategorie,adresa,lat,lon
0,Avion Shopping Park,obchod,Skandinávská 2,49.157531899999995,16.626829999999998
1,Bauhaus,obchod,Strážní 7,49.177131700000004,16.6008564
2,OC Campus Square,obchod,"Netroufalky 770, Bohunice",49.1774869,16.5660742
3,FUTURUM,obchod,Vídeňská 100,49.1558108,16.5975739
4,GLOBUS,obchod,"Hradecká 40, Brno - Ivanovice49.2620186",16.5790864,
5,Hornbach,obchod,Heršpická 3,49.179030299999994,16.6053739
6,OD KLÁŠTER,obchod,Orlí 20,49.1936722,16.6118383
7,NC Královo Pole,obchod,Cimburkova 4,49.2169217,16.6084875
8,LETMO,obchod,Nádražní 2a,49.19161810000001,16.6124028
9,Olympia Brno,obchod,"U Dálnice 777, Brno - Modřice",49.1381281,16.633017499999998
10,OMEGA,obchod,nám. Svobody 9,49.1948364,16.6092108
11,OG ORLÍ,obchod,Orlí 3,49.193305,16.6102269
12,OD ROZKVÉT,obchod,nám. Svobody 16,49.1941447,16.6082589
13,OD TESCO Dornych,obchod,Dornych 4,49.189514700000004,16.6129286
14,OG Vaňkovka,obchod,Ve Vaňkovce 1,49.1888369,16.613744699999998
15,OC Velký Špalíček,obchod,Mečova 2,49.1932761,16.6069739
16,Jedna Báseň wine & coffee bar,kavarna,"Sukova 2, Brno",49.1960825,16.6123312
17,Pizza Coloseum Brno,kavarna,"Vídeňská 223/1, Brno",49.1860734,16.5955074
18,Siesta Lobby and Wine restaurant,kavarna,"Husova 200/16, Brno",49.1949802,16.6054832
19,Vinárna Perkmistr,kavarna,"Dusíkova 910/17, Brno",49.23592429999999,16.6268417
20,Kavárna Punkt.,kavarna,"Bayerova 7, Brno",49.2062058,16.6020484
21,Kavárna De Fleurs,kavarna,"Jezuitská 17/15, Brno",49.1972395,16.6112136
22,Bistro Marináda Store,kavarna,"Jiráskova třída 220/15, Brno",0.0,0.0
23,Kavárna Park Lane Café,kavarna,"Lužánecká 1885/4a, Brno",49.204282899999995,16.608475
24,Kavárna Tři ocásci,kavarna,"třída Kapitána Jaroše 18, Brno",49.2027317,16.6110428
25,Kavárna Café Brussel,kavarna,"Pekařská 364/76, Brno",49.1917745,16.5975518
26,Kavárna Mezzanine,kavarna,"Údolní 435/15, Brno",49.19677539999999,16.6007577
27,Kavárna Café Momenta,kavarna,"Zelný trh 314/2, Brno",49.19255020000001,16.6096839
28,Kavárna Klafé,kavarna,"Klácelova 281/1a, Brno",49.20088,16.5830372
29,Kavárna Coffee Fusion,kavarna,"Jánská 460/25, Brno",49.1950311,16.611712400000002
30,Kavárna Café Atlas,kavarna,"Žerotínovo náměstí 533/6, Brno",49.1981806,16.602663500000002
31,Kavárna Cafe Podnebi,kavarna,"Údolní 222/5, Brno",49.1960434,16.6021429
32,Kavárna Skog,kavarna,"Dominikánské náměstí 187/5, Brno",49.193968100000006,16.607319699999998
33,Kavárna Caffé Fratelli,kavarna,"Průchodní 377/2 , Brno",49.1932072,16.6090957
34,The Cat Café,kavarna,"Martinkova 7, Brno",49.209162799999994,16.6132928
35,Art Café Bar Morgal,kavarna,"Moravské náměstí 1a, Brno",49.1978992,16.6083609
36,Veselá čajovna,kavarna,"Kobližná 5, Brno",49.19545170000001,16.6099376
37,čajovna Leyaly,kavarna,"Koliště 1907/3, Brno",49.200309000000004,16.608691099999998
38,Kavárna V Melounovém cukru,kavarna,"Františkánská 494/17, Brno",49.1929458,16.6118707
39,Coffee Bar Mymika,kavarna,"Lidická 15, Brno",49.201404,16.6072867
40,Bistro Napoli,kavarna,"Jundrovská 43, Brno",49.214644899999996,16.558287
41,Čajovna za zrcadlem,kavarna,"Jaselská 16, Brno",49.1988443,16.600704399999998
42,Sampalero dětská kavárna a bazar,kavarna,"Jezuitská 585/4, Brno",49.1974065,16.612584299999998
43,Campus river,kavarna,"Palachovo náměstí 726/2, Brno",49.1755535,16.5665498
44,Cafe restaurant Tivoli,kavarna,"Konečného náměstí 539/6, Brno",49.20512720000001,16.5941361
45,Kavárna Spolek,kavarna,"Orlí 517/22 , Brno",49.1939461,16.6124283
46,Kavárna Vídeňka Café,kavarna,"Vídeňská 849/15, Brno",49.183980600000005,16.5953334
47,Kavárna Liberty cafe,kavarna,"Radnická 378/7, Brno",49.1933168,16.608810000000002
48,Zahrada Ambrosia,kavarna,"Údolní 599/37 , Brno",49.198081,16.5974587
49,Kavárna Caffé del Saggio,kavarna,"Helceletova 232/2, Brno",49.1986995,16.5865766
50,Podnik café bar,kavarna,"Peroutková 5, Brno",49.192290899999996,16.6073843
51,Kavárna Pole,kavarna,"Durďákova 5, Brno",49.203537299999994,16.6186003
52,Bon Bon café,kavarna,"náměstí Míru 374/2 , Brno",49.2022411,16.579999800000003
53,Cafe Bar Paparazzi,kavarna,"Joštova 4, Brno",49.1978355,16.6059576
54,Monty Jack Café bar,kavarna,"Jana Uhra 168/10, Brno",49.202513700000004,16.5962146
55,Cukrárna-kavárna Smile,kavarna,"náměstí 28. dubna 10/40, Brno",49.2265714,16.529909699999997
56,Point Café,kavarna,"náměstí Svobody 72/8, Brno",49.194976399999994,16.6089047
57,Kavárna Redwall Café    ,kavarna,"Gajdošova 4454/10 , Brno",49.20134229999999,16.6430626
58,Kavárna Tu cafe,kavarna,"Nádražní 2a, Brno",49.191775899999996,16.612390700000002
